HQ,Country,State_of_outlet,City_of_outlet,Month,Day,Year,Total_Sales
Asia,India,,Bombay (Mumbai),6,10,2005,89.5
Asia,India,,Bombay (Mumbai),6,11,2005,89.6
Asia,India,,Bombay (Mumbai),6,12,2005,88.8
Asia,India,,Bombay (Mumbai),6,13,2005,88.6
Asia,India,,Bombay (Mumbai),6,14,2005,89.8
Asia,India,,Bombay (Mumbai),6,15,2005,89.1
Asia,India,,Bombay (Mumbai),6,16,2005,89.1
Asia,India,,Bombay (Mumbai),6,17,2005,89.3
Asia,India,,Bombay (Mumbai),6,18,2005,86
Asia,India,,Bombay (Mumbai),6,19,2005,83.3
Asia,India,,Bombay (Mumbai),6,20,2005,81.4
Asia,India,,Bombay (Mumbai),6,21,2005,81.3
Asia,India,,Bombay (Mumbai),6,22,2005,80.7
Asia,India,,Bombay (Mumbai),6,23,2005,78
Asia,India,,Bombay (Mumbai),6,24,2005,80.1
Asia,India,,Bombay (Mumbai),6,25,2005,80.1
Asia,India,,Bombay (Mumbai),6,26,2005,81.6
Asia,India,,Bombay (Mumbai),6,27,2005,80.6
Asia,India,,Bombay (Mumbai),6,28,2005,81.5
Asia,India,,Bombay (Mumbai),6,29,2005,81.6
Asia,India,,Bombay (Mumbai),6,30,2005,82.9
Asia,India,,Bombay (Mumbai),7,1,2005,80.7
Asia,India,,Bombay (Mumbai),7,2,2005,81.8
Asia,India,,Bombay (Mumbai),7,3,2005,83.1
Asia,India,,Bombay (Mumbai),7,4,2005,82.7
Asia,India,,Bombay (Mumbai),7,5,2005,83.6
Asia,India,,Bombay (Mumbai),7,6,2005,83.8
Asia,India,,Bombay (Mumbai),7,7,2005,82.6
Asia,India,,Bombay (Mumbai),7,8,2005,83.9
Asia,India,,Bombay (Mumbai),7,9,2005,83.2
Asia,India,,Bombay (Mumbai),7,10,2005,83.7
Asia,India,,Bombay (Mumbai),7,11,2005,83.4
Asia,India,,Bombay (Mumbai),7,12,2005,83.9
Asia,India,,Bombay (Mumbai),7,13,2005,84.1
Asia,India,,Bombay (Mumbai),7,14,2005,84.6
Asia,India,,Bombay (Mumbai),7,15,2005,84.1
Asia,India,,Bombay (Mumbai),7,16,2005,84
Asia,India,,Bombay (Mumbai),7,17,2005,83.1
Asia,India,,Bombay (Mumbai),7,18,2005,84.5
Asia,India,,Bombay (Mumbai),7,19,2005,82.3
Asia,India,,Bombay (Mumbai),7,20,2005,79.8
Asia,India,,Bombay (Mumbai),7,21,2005,80.2
Asia,India,,Bombay (Mumbai),7,22,2005,82.1
Asia,India,,Bombay (Mumbai),7,23,2005,83.9
Asia,India,,Bombay (Mumbai),7,24,2005,82.7
Asia,India,,Bombay (Mumbai),7,25,2005,82.5
Asia,India,,Bombay (Mumbai),7,26,2005,80.8
Asia,India,,Bombay (Mumbai),7,27,2005,81.8
Asia,India,,Bombay (Mumbai),7,28,2005,83.1
Asia,India,,Bombay (Mumbai),7,29,2005,81.1
Asia,India,,Bombay (Mumbai),7,30,2005,81.6
Asia,India,,Bombay (Mumbai),7,31,2005,77.9
Asia,India,,Bombay (Mumbai),8,1,2005,77.6
Asia,India,,Bombay (Mumbai),8,2,2005,81.5
Asia,India,,Bombay (Mumbai),8,3,2005,82.4
Asia,India,,Bombay (Mumbai),8,4,2005,79.6
Asia,India,,Bombay (Mumbai),8,5,2005,81.6
Asia,India,,Bombay (Mumbai),8,6,2005,81.1
Asia,India,,Bombay (Mumbai),8,7,2005,80.5
Asia,India,,Bombay (Mumbai),8,8,2005,80
Asia,India,,Bombay (Mumbai),8,9,2005,81.9
Asia,India,,Bombay (Mumbai),8,10,2005,81.8
Asia,India,,Bombay (Mumbai),8,11,2005,80.6
Asia,India,,Bombay (Mumbai),8,12,2005,80.9
Asia,India,,Bombay (Mumbai),8,13,2005,80.4
Asia,India,,Bombay (Mumbai),8,14,2005,81.4
Asia,India,,Bombay (Mumbai),8,15,2005,81.7
Asia,India,,Bombay (Mumbai),8,16,2005,80.5
Asia,India,,Bombay (Mumbai),8,17,2005,81.1
Asia,India,,Bombay (Mumbai),8,18,2005,81.5
Asia,India,,Bombay (Mumbai),8,19,2005,80.5
Asia,India,,Bombay (Mumbai),8,20,2005,79.1
Asia,India,,Bombay (Mumbai),8,21,2005,80.9
Asia,India,,Bombay (Mumbai),8,22,2005,80.8
Asia,India,,Bombay (Mumbai),8,23,2005,82
Asia,India,,Bombay (Mumbai),8,24,2005,82
Asia,India,,Bombay (Mumbai),8,25,2005,81.9
Asia,India,,Bombay (Mumbai),8,26,2005,80.8
Asia,India,,Bombay (Mumbai),8,27,2005,80.8
Asia,India,,Bombay (Mumbai),8,28,2005,80.8
Asia,India,,Bombay (Mumbai),8,29,2005,82.5
Asia,India,,Bombay (Mumbai),8,30,2005,81.9
Asia,India,,Bombay (Mumbai),8,31,2005,82.1
Asia,India,,Bombay (Mumbai),9,1,2005,82.3
Asia,India,,Bombay (Mumbai),9,2,2005,83.6
Asia,India,,Bombay (Mumbai),9,3,2005,83.5
Asia,India,,Bombay (Mumbai),9,4,2005,78.3
Asia,India,,Bombay (Mumbai),9,5,2005,80.4
Asia,India,,Bombay (Mumbai),9,6,2005,82.2
Asia,India,,Bombay (Mumbai),9,7,2005,82.7
Asia,India,,Bombay (Mumbai),9,8,2005,81.3
Asia,India,,Bombay (Mumbai),9,9,2005,78.8
Asia,India,,Bombay (Mumbai),9,10,2005,79.5
Asia,India,,Bombay (Mumbai),9,11,2005,79
Asia,India,,Bombay (Mumbai),9,12,2005,79.4
Asia,India,,Bombay (Mumbai),9,13,2005,81.1
Asia,India,,Bombay (Mumbai),9,14,2005,81.1
Asia,India,,Bombay (Mumbai),9,15,2005,81.6
Asia,India,,Bombay (Mumbai),9,16,2005,81.7
Asia,India,,Bombay (Mumbai),9,17,2005,80.5
Asia,India,,Bombay (Mumbai),9,18,2005,82.1
Asia,India,,Bombay (Mumbai),9,19,2005,79.1
Asia,India,,Bombay (Mumbai),9,20,2005,78
Asia,India,,Bombay (Mumbai),9,21,2005,79.6
Asia,India,,Bombay (Mumbai),9,22,2005,77.4
Asia,India,,Bombay (Mumbai),9,23,2005,80.4
Asia,India,,Bombay (Mumbai),9,24,2005,81.4
Asia,India,,Bombay (Mumbai),9,25,2005,81.7
Asia,India,,Bombay (Mumbai),9,26,2005,81.6
Asia,India,,Bombay (Mumbai),9,27,2005,80.7
Asia,India,,Bombay (Mumbai),9,28,2005,80.9
Asia,India,,Bombay (Mumbai),9,29,2005,81.5
Asia,India,,Bombay (Mumbai),9,30,2005,78
Asia,India,,Bombay (Mumbai),10,1,2005,80
Asia,India,,Bombay (Mumbai),10,2,2005,80
Asia,India,,Bombay (Mumbai),10,3,2005,78.4
Asia,India,,Bombay (Mumbai),10,4,2005,81
Asia,India,,Bombay (Mumbai),10,5,2005,81.1
Asia,India,,Bombay (Mumbai),10,6,2005,84.3
Asia,India,,Bombay (Mumbai),10,7,2005,85.7
Asia,India,,Bombay (Mumbai),10,8,2005,85.6
Asia,India,,Bombay (Mumbai),10,9,2005,84.3
Asia,India,,Bombay (Mumbai),10,10,2005,84.3
Asia,India,,Bombay (Mumbai),10,11,2005,85.9
Asia,India,,Bombay (Mumbai),10,12,2005,86
Asia,India,,Bombay (Mumbai),10,13,2005,86.8
Asia,India,,Bombay (Mumbai),10,14,2005,84.2
Asia,India,,Bombay (Mumbai),10,15,2005,83.5
Asia,India,,Bombay (Mumbai),10,16,2005,82.1
Asia,India,,Bombay (Mumbai),10,17,2005,82.2
Asia,India,,Bombay (Mumbai),10,18,2005,82.1
Asia,India,,Bombay (Mumbai),10,19,2005,82.6
Asia,India,,Bombay (Mumbai),10,20,2005,83.4
Asia,India,,Bombay (Mumbai),10,21,2005,82.9
Asia,India,,Bombay (Mumbai),10,22,2005,82.2
Asia,India,,Bombay (Mumbai),10,23,2005,82.2
Asia,India,,Bombay (Mumbai),10,24,2005,81.2
Asia,India,,Bombay (Mumbai),10,25,2005,82
Asia,India,,Bombay (Mumbai),10,26,2005,82.1
Asia,India,,Bombay (Mumbai),10,27,2005,81.5
Asia,India,,Bombay (Mumbai),10,28,2005,80.5
Asia,India,,Bombay (Mumbai),10,29,2005,79.2
Asia,India,,Bombay (Mumbai),10,30,2005,79.3
Asia,India,,Bombay (Mumbai),10,31,2005,77.7
Asia,India,,Bombay (Mumbai),11,1,2005,77.9
Asia,India,,Bombay (Mumbai),11,2,2005,79.8
Asia,India,,Bombay (Mumbai),11,3,2005,81.5
Asia,India,,Bombay (Mumbai),11,4,2005,81.1
Asia,India,,Bombay (Mumbai),11,5,2005,82.5
Asia,India,,Bombay (Mumbai),11,6,2005,80.5
Asia,India,,Bombay (Mumbai),11,7,2005,81.3
Asia,India,,Bombay (Mumbai),11,8,2005,81.5
Asia,India,,Bombay (Mumbai),11,9,2005,78.3
Asia,India,,Bombay (Mumbai),11,10,2005,79.1
Asia,India,,Bombay (Mumbai),11,11,2005,78
Asia,India,,Bombay (Mumbai),11,12,2005,78.7
Asia,India,,Bombay (Mumbai),11,13,2005,79.8
Asia,India,,Bombay (Mumbai),11,14,2005,77.9
Asia,India,,Bombay (Mumbai),11,15,2005,79.9
Asia,India,,Bombay (Mumbai),11,16,2005,80.4
Asia,India,,Bombay (Mumbai),11,17,2005,80.3
Asia,India,,Bombay (Mumbai),11,18,2005,78.3
Asia,India,,Bombay (Mumbai),11,19,2005,78.1
Asia,India,,Bombay (Mumbai),11,20,2005,78.8
Asia,India,,Bombay (Mumbai),11,21,2005,80
Asia,India,,Bombay (Mumbai),11,22,2005,79.2
Asia,India,,Bombay (Mumbai),11,23,2005,80.1
Asia,India,,Bombay (Mumbai),11,24,2005,79.7
Asia,India,,Bombay (Mumbai),11,25,2005,79.8
Asia,India,,Bombay (Mumbai),11,26,2005,80.7
Asia,India,,Bombay (Mumbai),11,27,2005,78.4
Asia,India,,Bombay (Mumbai),11,28,2005,79.9
Asia,India,,Bombay (Mumbai),11,29,2005,79.6
Asia,India,,Bombay (Mumbai),11,30,2005,79
Asia,India,,Bombay (Mumbai),12,1,2005,76.5
Asia,India,,Bombay (Mumbai),12,2,2005,79.7
Asia,India,,Bombay (Mumbai),12,3,2005,81.5
Asia,India,,Bombay (Mumbai),12,4,2005,81.2
Asia,India,,Bombay (Mumbai),12,5,2005,81.9
Asia,India,,Bombay (Mumbai),12,6,2005,82.7
Asia,India,,Bombay (Mumbai),12,7,2005,80.5
Asia,India,,Bombay (Mumbai),12,8,2005,78.9
Asia,India,,Bombay (Mumbai),12,9,2005,79.6
Asia,India,,Bombay (Mumbai),12,10,2005,78.6
Asia,India,,Bombay (Mumbai),12,11,2005,79
Asia,India,,Bombay (Mumbai),12,12,2005,79
Asia,India,,Bombay (Mumbai),12,13,2005,79.2
Asia,India,,Bombay (Mumbai),12,14,2005,77.3
Asia,India,,Bombay (Mumbai),12,15,2005,76.7
Asia,India,,Bombay (Mumbai),12,16,2005,77.3
Asia,India,,Bombay (Mumbai),12,17,2005,76.9
Asia,India,,Bombay (Mumbai),12,18,2005,74.9
Asia,India,,Bombay (Mumbai),12,19,2005,72.8
Asia,India,,Bombay (Mumbai),12,20,2005,71.7
Asia,India,,Bombay (Mumbai),12,21,2005,71.1
Asia,India,,Bombay (Mumbai),12,22,2005,72.3
Asia,India,,Bombay (Mumbai),12,23,2005,71.7
Asia,India,,Bombay (Mumbai),12,24,2005,75.2
Asia,India,,Bombay (Mumbai),12,25,2005,77.3
Asia,India,,Bombay (Mumbai),12,26,2005,75.3
Asia,India,,Bombay (Mumbai),12,27,2005,74.6
Asia,India,,Bombay (Mumbai),12,28,2005,76.1
Asia,India,,Bombay (Mumbai),12,29,2005,74.5
Asia,India,,Bombay (Mumbai),12,30,2005,74.2
Asia,India,,Bombay (Mumbai),12,31,2005,76.7
Asia,India,,Calcutta,1,1,2005,66.5
Asia,India,,Calcutta,1,2,2005,68.9
Asia,India,,Calcutta,1,3,2005,72.8
Asia,India,,Calcutta,1,4,2005,68.9
Asia,India,,Calcutta,1,5,2005,67
Asia,India,,Calcutta,1,6,2005,65.2
Asia,India,,Calcutta,1,7,2005,65
Asia,India,,Calcutta,1,8,2005,64.5
Asia,India,,Calcutta,1,9,2005,63.5
Asia,India,,Calcutta,1,10,2005,67.1
Asia,India,,Calcutta,1,11,2005,65.6
Asia,India,,Calcutta,1,12,2005,62.1
Asia,India,,Calcutta,1,13,2005,63.2
Asia,India,,Calcutta,1,14,2005,63.2
Asia,India,,Calcutta,1,15,2005,65.1
Asia,India,,Calcutta,1,16,2005,65.9
Asia,India,,Calcutta,1,17,2005,66.3
Asia,India,,Calcutta,1,18,2005,69
Asia,India,,Calcutta,1,19,2005,67.2
Asia,India,,Calcutta,1,20,2005,63.1
Asia,India,,Calcutta,1,21,2005,63.5
Asia,India,,Calcutta,1,22,2005,65.9
Asia,India,,Calcutta,1,23,2005,67.4
Asia,India,,Calcutta,1,24,2005,62.8
Asia,India,,Calcutta,1,25,2005,63.7
Asia,India,,Calcutta,1,26,2005,64.1
Asia,India,,Calcutta,1,27,2005,66.8
Asia,India,,Calcutta,1,28,2005,65.5
Asia,India,,Calcutta,1,29,2005,66.2
Asia,India,,Calcutta,1,30,2005,67.5
Asia,India,,Calcutta,1,31,2005,69.2
Asia,India,,Calcutta,2,1,2005,65
Asia,India,,Calcutta,2,2,2005,64.8
Asia,India,,Calcutta,2,3,2005,62.6
Asia,India,,Calcutta,2,4,2005,63.6
Asia,India,,Calcutta,2,5,2005,66.5
Asia,India,,Calcutta,2,6,2005,71.8
Asia,India,,Calcutta,2,7,2005,72.5
Asia,India,,Calcutta,2,8,2005,72.5
Asia,India,,Calcutta,2,9,2005,73.1
Asia,India,,Calcutta,2,10,2005,72.9
Asia,India,,Calcutta,2,11,2005,75.2
Asia,India,,Calcutta,2,12,2005,78.8
Asia,India,,Calcutta,2,13,2005,81.9
Asia,India,,Calcutta,2,14,2005,76.3
Asia,India,,Calcutta,2,15,2005,75.7
Asia,India,,Calcutta,2,16,2005,80.8
Asia,India,,Calcutta,2,17,2005,79.8
Asia,India,,Calcutta,2,18,2005,79.6
Asia,India,,Calcutta,2,19,2005,79.4
Asia,India,,Calcutta,2,20,2005,80.4
Asia,India,,Calcutta,2,21,2005,79.2
Asia,India,,Calcutta,2,22,2005,75.3
Asia,India,,Calcutta,2,23,2005,75.5
Asia,India,,Calcutta,2,24,2005,71.1
Asia,India,,Calcutta,2,25,2005,72.7
Asia,India,,Calcutta,2,26,2005,75.2
Asia,India,,Calcutta,2,27,2005,76
Asia,India,,Calcutta,2,28,2005,78.1
Asia,India,,Calcutta,3,1,2005,80.2
Asia,India,,Calcutta,3,2,2005,81.7
Asia,India,,Calcutta,3,3,2005,83.5
Asia,India,,Calcutta,3,4,2005,83.6
Asia,India,,Calcutta,3,5,2005,83.4
Asia,India,,Calcutta,3,6,2005,82.4
Asia,India,,Calcutta,3,7,2005,82
Asia,India,,Calcutta,3,8,2005,80.9
Asia,India,,Calcutta,3,9,2005,81.1
Asia,India,,Calcutta,3,10,2005,81.8
Asia,India,,Calcutta,3,11,2005,76.6
Asia,India,,Calcutta,3,12,2005,70.8
Asia,India,,Calcutta,3,13,2005,77
Asia,India,,Calcutta,3,14,2005,75.6
Asia,India,,Calcutta,3,15,2005,78.2
Asia,India,,Calcutta,3,16,2005,79.5
Asia,India,,Calcutta,3,17,2005,79.4
Asia,India,,Calcutta,3,18,2005,80.6
Asia,India,,Calcutta,3,19,2005,81.7
Asia,India,,Calcutta,3,20,2005,83.3
Asia,India,,Calcutta,3,21,2005,84.5
Asia,India,,Calcutta,3,22,2005,82.3
Asia,India,,Calcutta,3,23,2005,77.7
Asia,India,,Calcutta,3,24,2005,71.4
Asia,India,,Calcutta,3,25,2005,73.5
Asia,India,,Calcutta,3,26,2005,81
Asia,India,,Calcutta,3,27,2005,83.6
Asia,India,,Calcutta,3,28,2005,82.8
Asia,India,,Calcutta,3,29,2005,83.1
Asia,India,,Calcutta,3,30,2005,80.6
Asia,India,,Calcutta,3,31,2005,78.1
Asia,India,,Calcutta,4,1,2005,81.3
Asia,India,,Calcutta,4,2,2005,79.1
Asia,India,,Calcutta,4,3,2005,81.1
Asia,India,,Calcutta,4,4,2005,81.7
Asia,India,,Calcutta,4,5,2005,83.3
Asia,India,,Calcutta,4,6,2005,82.8
Asia,India,,Calcutta,4,7,2005,83.3
Asia,India,,Calcutta,4,8,2005,83
Asia,India,,Calcutta,4,9,2005,84.2
Asia,India,,Calcutta,4,10,2005,81.6
Asia,India,,Calcutta,4,11,2005,82.6
Asia,India,,Calcutta,4,12,2005,81.3
Asia,India,,Calcutta,4,13,2005,83.7
Asia,India,,Calcutta,4,14,2005,85.2
Asia,India,,Calcutta,4,15,2005,84.6
Asia,India,,Calcutta,4,16,2005,85.2
Asia,India,,Calcutta,4,17,2005,85.5
Asia,India,,Calcutta,4,18,2005,85
Asia,India,,Calcutta,4,19,2005,85.6
Asia,India,,Calcutta,4,20,2005,84.5
Asia,India,,Calcutta,4,21,2005,86.1
Asia,India,,Calcutta,4,22,2005,86
Asia,India,,Calcutta,4,23,2005,86.1
Asia,India,,Calcutta,4,24,2005,86.3
Asia,India,,Calcutta,4,25,2005,86.2
Asia,India,,Calcutta,4,26,2005,87.3
Asia,India,,Calcutta,4,27,2005,89.3
Asia,India,,Calcutta,4,28,2005,88.6
Asia,India,,Calcutta,4,29,2005,82.6
Asia,India,,Calcutta,4,30,2005,79.1
Asia,India,,Calcutta,5,1,2005,82.6
Asia,India,,Calcutta,5,2,2005,81.8
Asia,India,,Calcutta,5,3,2005,82.9
Asia,India,,Calcutta,5,4,2005,82.7
Asia,India,,Calcutta,5,5,2005,79.3
Asia,India,,Calcutta,5,6,2005,77.9
Asia,India,,Calcutta,5,7,2005,83.1
Asia,India,,Calcutta,5,8,2005,86
Asia,India,,Calcutta,5,9,2005,88.6
Asia,India,,Calcutta,5,10,2005,89.1
Asia,India,,Calcutta,5,11,2005,89.2
Asia,India,,Calcutta,5,12,2005,88.5
Asia,India,,Calcutta,5,13,2005,89.2
Asia,India,,Calcutta,5,14,2005,90.9
Asia,India,,Calcutta,5,15,2005,91.5
Asia,India,,Calcutta,5,16,2005,88.7
Asia,India,,Calcutta,5,17,2005,85.6
Asia,India,,Calcutta,5,18,2005,87.8
Asia,India,,Calcutta,5,19,2005,86.1
Asia,India,,Calcutta,5,20,2005,85.8
Asia,India,,Calcutta,5,21,2005,87.9
Asia,India,,Calcutta,5,22,2005,87.2
Asia,India,,Calcutta,5,23,2005,88.1
